predicted,actual
657.9856567382812,644.1
602.9874877929688,615.0
618.2174072265625,655.44
549.596923828125,520.0
738.2980346679688,732.5
317.1531066894531,290.0
599.3058471679688,589.67
323.3683776855469,317.51
891.9099731445312,920.0
306.1948547363281,340.19
694.5772094726562,723.48
263.0588684082031,235.87
657.6535034179688,680.39
747.0648193359375,760.0
370.1993408203125,365.0
408.2769775390625,383.29
609.00146484375,605.55
567.9501342773438,512.5
343.6759338378906,353.8
476.18511962890625,501.22
736.7958374023438,752.5
754.4281005859375,780.0
705.1689453125,500.0
263.1510314941406,269.89
261.5755615234375,260.82
332.2875061035156,328.85
446.85296630859375,448.5
344.7089538574219,352.5
373.77410888671875,383.29
626.1582641601562,603.28
695.7008666992188,700.0
342.3245849609375,328.85
251.580078125,222.5
830.2772216796875,830.0
521.0157470703125,539.77
466.0792541503906,464.93
696.29736328125,695.0
687.0556030273438,635.0
404.2557373046875,394.63
502.0126953125,485.34
581.9544677734375,582.87
279.4826354980469,245.0
707.0238037109375,630.0
558.39990234375,553.38
513.370849609375,501.22
641.4696044921875,639.57
491.9184265136719,492.15
441.24383544921875,377.5
697.7471313476562,737.09
411.1958923339844,317.5
432.9154968261719,376.48
726.3648071289062,720.0
724.89453125,717.5
705.1784057617188,708.5
776.3495483398438,777.5
322.3934326171875,312.98
504.09588623046875,485.34
616.9446411132812,598.74
437.9502868652344,437.5
601.428466796875,705.0
815.287841796875,815.0
636.4258422851562,615.0
452.2488708496094,439.98
683.62158203125,709.87
342.13580322265625,322.5
348.3659362792969,328.85
803.8467407226562,812.5
564.5761108398438,547.5
405.66094970703125,387.5
367.7386779785156,351.0
847.5201416015625,842.5
315.8317565917969,375.0
475.736572265625,435.0
731.2637939453125,725.0
550.8018188476562,524.0
462.6512756347656,340.0
549.976318359375,295.0
421.29351806640625,376.48
425.87701416015625,357.5
356.7829284667969,367.5
276.86383056640625,195.0
653.0078125,677.5
638.0632934570312,659.98
553.8776245117188,532.97
333.49639892578125,336.0
481.8444519042969,474.0
599.6319580078125,603.28
894.4943237304688,920.0
489.4447021484375,467.2
361.783935546875,407.5
706.7896118164062,737.5
501.98297119140625,425.0
541.5233764648438,567.5
204.6528778076172,179.17
818.732666015625,845.0
445.13580322265625,390.0
579.8386840820312,535.0
497.1524963378906,487.5
393.1104431152344,396.89
368.0364990234375,347.0
818.2687377929688,870.0
631.1862182617188,570.5
535.9315795898438,550.0
377.78546142578125,362.5
603.95947265625,612.35
505.01513671875,415.0
662.4827270507812,680.39
583.0402221679688,607.81
694.6932983398438,689.46
393.5990295410156,387.5
297.5553283691406,245.0
662.6084594726562,671.32
382.45904541015625,396.89
563.0211181640625,564.72
